Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	car_target	cell_type	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	source_name	SRA Study	t_cell_memory	t_cell_type	time
SRR13961024	ATAC-seq	152	847518408	PRJNA714409	SAMN18307965	334270837	CD19	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339031	GSM5171837	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T07:10:00Z	1	GSM5171837	T cells	SRP310566	Central Memory	CD4	7 Days post-stimulation
SRR13961025	ATAC-seq	152	944143288	PRJNA714409	SAMN18307964	370317405	GD2	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339032	GSM5171838	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T07:04:00Z	1	GSM5171838	T cells	SRP310566	Central Memory	CD4	7 Days post-stimulation
SRR13961026	ATAC-seq	152	788024240	PRJNA714409	SAMN18307963	309769593	GD2	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339033	GSM5171839	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T06:59:00Z	1	GSM5171839	T cells	SRP310566	Central Memory	CD4	7 Days post-stimulation
SRR13961027	ATAC-seq	152	927037360	PRJNA714409	SAMN18307962	365392977	CD19	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339034	GSM5171840	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T07:06:00Z	1	GSM5171840	T cells	SRP310566	Naïve	CD4	7 Days post-stimulation
SRR13961028	ATAC-seq	152	941040056	PRJNA714409	SAMN18307961	370283369	CD19	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339035	GSM5171841	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T06:51:00Z	1	GSM5171841	T cells	SRP310566	Naïve	CD4	7 Days post-stimulation
SRR13961029	ATAC-seq	152	1221731160	PRJNA714409	SAMN18307960	478945908	GD2	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339036	GSM5171842	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T06:59:00Z	1	GSM5171842	T cells	SRP310566	Naïve	CD4	7 Days post-stimulation
SRR13961030	ATAC-seq	152	959724656	PRJNA714409	SAMN18307959	377160391	GD2	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339037	GSM5171843	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T07:05:00Z	1	GSM5171843	T cells	SRP310566	Naïve	CD4	7 Days post-stimulation
SRR13961031	ATAC-seq	152	787369576	PRJNA714409	SAMN18307958	308254629	CD19	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339038	GSM5171844	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T06:50:00Z	1	GSM5171844	T cells	SRP310566	Central Memory	CD8	7 Days post-stimulation
SRR13961032	ATAC-seq	152	838194880	PRJNA714409	SAMN18307957	328556706	CD19	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339039	GSM5171845	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T07:01:00Z	1	GSM5171845	T cells	SRP310566	Central Memory	CD8	7 Days post-stimulation
SRR13961033	ATAC-seq	152	960777864	PRJNA714409	SAMN18307990	377709241	GD2	CAR T cell	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX10339040	GSM5171846	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	2021-05-01T00:00:00Z	2021-03-15T07:06:00Z	1	GSM5171846	T cells	SRP310566	Central Memory	CD8	7 Days post-stimulation
