sample,fastq_1,fastq_2,replicate
SRR13961024,../../data/fastq/SRR13961024_1.fastq.gz,../../data/fastq/SRR13961024_2.fastq.gz,1
SRR13961025,../../data/fastq/SRR13961025_1.fastq.gz,../../data/fastq/SRR13961025_2.fastq.gz,1
SRR13961026,../../data/fastq/SRR13961026_1.fastq.gz,../../data/fastq/SRR13961026_2.fastq.gz,1
SRR13961027,../../data/fastq/SRR13961027_1.fastq.gz,../../data/fastq/SRR13961027_2.fastq.gz,1
SRR13961028,../../data/fastq/SRR13961028_1.fastq.gz,../../data/fastq/SRR13961028_2.fastq.gz,1
SRR13961029,../../data/fastq/SRR13961029_1.fastq.gz,../../data/fastq/SRR13961029_2.fastq.gz,1
SRR13961030,../../data/fastq/SRR13961030_1.fastq.gz,../../data/fastq/SRR13961030_2.fastq.gz,1
SRR13961031,../../data/fastq/SRR13961031_1.fastq.gz,../../data/fastq/SRR13961031_2.fastq.gz,1
SRR13961032,../../data/fastq/SRR13961032_1.fastq.gz,../../data/fastq/SRR13961032_2.fastq.gz,1
SRR13961033,../../data/fastq/SRR13961033_1.fastq.gz,../../data/fastq/SRR13961033_2.fastq.gz,1
SRR13961034,../../data/fastq/SRR13961034_1.fastq.gz,../../data/fastq/SRR13961034_2.fastq.gz,1
SRR13961035,../../data/fastq/SRR13961035_1.fastq.gz,../../data/fastq/SRR13961035_2.fastq.gz,1
SRR13961036,../../data/fastq/SRR13961036_1.fastq.gz,../../data/fastq/SRR13961036_2.fastq.gz,1
SRR13961037,../../data/fastq/SRR13961037_1.fastq.gz,../../data/fastq/SRR13961037_2.fastq.gz,1
SRR13961038,../../data/fastq/SRR13961038_1.fastq.gz,../../data/fastq/SRR13961038_2.fastq.gz,1
SRR13961039,../../data/fastq/SRR13961039_1.fastq.gz,../../data/fastq/SRR13961039_2.fastq.gz,1
SRR13961040,../../data/fastq/SRR13961040_1.fastq.gz,../../data/fastq/SRR13961040_2.fastq.gz,1
SRR13961041,../../data/fastq/SRR13961041_1.fastq.gz,../../data/fastq/SRR13961041_2.fastq.gz,1
SRR13961042,../../data/fastq/SRR13961042_1.fastq.gz,../../data/fastq/SRR13961042_2.fastq.gz,1
SRR13961043,../../data/fastq/SRR13961043_1.fastq.gz,../../data/fastq/SRR13961043_2.fastq.gz,1
SRR13961044,../../data/fastq/SRR13961044_1.fastq.gz,../../data/fastq/SRR13961044_2.fastq.gz,1
SRR13961045,../../data/fastq/SRR13961045_1.fastq.gz,../../data/fastq/SRR13961045_2.fastq.gz,1
SRR13961046,../../data/fastq/SRR13961046_1.fastq.gz,../../data/fastq/SRR13961046_2.fastq.gz,1
SRR13961047,../../data/fastq/SRR13961047_1.fastq.gz,../../data/fastq/SRR13961047_2.fastq.gz,1
SRR13961048,../../data/fastq/SRR13961048_1.fastq.gz,../../data/fastq/SRR13961048_2.fastq.gz,1
SRR13961049,../../data/fastq/SRR13961049_1.fastq.gz,../../data/fastq/SRR13961049_2.fastq.gz,1
SRR13961050,../../data/fastq/SRR13961050_1.fastq.gz,../../data/fastq/SRR13961050_2.fastq.gz,1
SRR13961051,../../data/fastq/SRR13961051_1.fastq.gz,../../data/fastq/SRR13961051_2.fastq.gz,1
SRR13961052,../../data/fastq/SRR13961052_1.fastq.gz,../../data/fastq/SRR13961052_2.fastq.gz,1
SRR13961053,../../data/fastq/SRR13961053_1.fastq.gz,../../data/fastq/SRR13961053_2.fastq.gz,1
SRR13961054,../../data/fastq/SRR13961054_1.fastq.gz,../../data/fastq/SRR13961054_2.fastq.gz,1
SRR13961055,../../data/fastq/SRR13961055_1.fastq.gz,../../data/fastq/SRR13961055_2.fastq.gz,1
SRR13961056,../../data/fastq/SRR13961056_1.fastq.gz,../../data/fastq/SRR13961056_2.fastq.gz,1
SRR13961057,../../data/fastq/SRR13961057_1.fastq.gz,../../data/fastq/SRR13961057_2.fastq.gz,1
SRR13961058,../../data/fastq/SRR13961058_1.fastq.gz,../../data/fastq/SRR13961058_2.fastq.gz,1
SRR13961059,../../data/fastq/SRR13961059_1.fastq.gz,../../data/fastq/SRR13961059_2.fastq.gz,1
SRR13961060,../../data/fastq/SRR13961060_1.fastq.gz,../../data/fastq/SRR13961060_2.fastq.gz,1
SRR13961061,../../data/fastq/SRR13961061_1.fastq.gz,../../data/fastq/SRR13961061_2.fastq.gz,1
SRR13961062,../../data/fastq/SRR13961062_1.fastq.gz,../../data/fastq/SRR13961062_2.fastq.gz,1
SRR13961063,../../data/fastq/SRR13961063_1.fastq.gz,../../data/fastq/SRR13961063_2.fastq.gz,1
