task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	91/cac335	9050832	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (GCF_000001405.26_GRCh38_genomic.fna)	CACHED	0	2025-05-04 02:24:43.328	5m 1s	4m 6s	195.5%	3.3 GB	3.5 GB	3.1 GB	3.5 KB
1	e9/791e86	9050835	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX (GCF_000001405.26_GRCh38_genomic.fna)	CACHED	0	2025-05-04 02:24:43.743	1h 33m 6s	1h 32m 7s	74.1%	4.5 GB	4.5 GB	13.4 GB	8.2 GB
5	27/6544f0	9050836	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GFFREAD (GCF_000001405.26_GRCh38_genomic.gff)	CACHED	0	2025-05-04 02:24:44.236	1m 1s	33s	87.5%	1.3 GB	1.3 GB	559.1 MB	647.5 MB
3	f9/ff9a3d	9050834	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCF_000001405.26_GRCh38_genomic.fna)	CACHED	0	2025-05-04 02:24:43.475	31.1s	23s	70.8%	2.6 MB	11.9 MB	3 GB	29.4 KB
6	a4/5b6838	9051968	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (GCF_000001405.26_GRCh38_genomic.gtf)	CACHED	0	2025-05-04 10:34:55.174	1m 8s	54s	58.9%	2.1 GB	2.1 GB	649.8 MB	15.6 MB
8	84/17cf7c	9051969	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (GCF_000001405.26_GRCh38_genomic.fna.fai)	CACHED	0	2025-05-04 10:34:55.266	37.4s	1s	54.7%	2.1 MB	29.8 MB	15.5 MB	5.9 KB
9	92/8adc59	9051970	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (GCF_000001405.26_GRCh38_genomic.fna.sizes)	CACHED	0	2025-05-04 10:34:55.505	37.2s	1s	63.8%	1.9 MB	22.1 MB	42.4 MB	9.8 KB
7	70/1c90d8	9051982	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT	COMPLETED	0	2025-05-04 10:44:23.204	37.3s	1.3s	42.7%	1.5 MB	3.9 MB	31.7 MB	19.8 MB
4	41/cd447c	9051981	NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2025-05-04 10:44:23.138	1m 22s	1m 12s	29.9%	9.8 MB	38 MB	15.5 MB	4.5 KB
19	f3/7e6d62	9051994	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR13961028_REP1_T1)	COMPLETED	0	2025-05-04 10:45:46.182	44.4s	38s	201.0%	1.1 GB	4.3 GB	646 MB	4.1 MB
15	dd/aa6d6c	9051997	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR13961026_REP1_T1)	COMPLETED	0	2025-05-04 10:45:47.682	42.9s	34s	205.6%	1.1 GB	4.3 GB	546.7 MB	4.2 MB
23	9f/6e976b	9052006	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR13961030_REP1_T1)	COMPLETED	0	2025-05-04 10:45:52.189	38.4s	31s	199.2%	1.1 GB	4.3 GB	658.2 MB	4.1 MB
46	92/000014	9052014	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR13961042_REP1_T1)	COMPLETED	0	2025-05-04 10:45:56.170	1m 24s	50s	202.2%	1.1 GB	4.3 GB	886.4 MB	4.1 MB
17	b4/f3ada0	9051996	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR13961027_REP1_T1)	COMPLETED	0	2025-05-04 10:45:47.170	1m 43s	39s	206.2%	1.1 GB	4.3 GB	637.5 MB	4.1 MB
